2012,219000,2000,140,Szary
2001,229450,1900,101,Biały
1999,150000,1800,125,Srebrny
2014,181600,1598,105,Szary
2014,101000,2000,140,Srebrny
2014,169877,1600,105,Niebieski
2004,287000,1896,131,Niebieski
2001,229000,1595,102,Niebieski
2006,199000,1600,102,Czarny
2002,650,1896,170,Szary
2001,303000,1896,130,Srebrny
2001,284000,2500,150,Srebrny
2011,139000,1600,105,Inny kolor
2014,181873,1968,140,Brązowy
2012,224000,2000,140,Czarny
2017,35896,2000,190,Czarny
2018,1,1798,180,Czarny
2018,1,1798,180,Srebrny
2017,800,1969,190,Szary
2017,1,1984,220,Szary
2010,127157,1968,170,Inny kolor
2010,144000,1968,140,Czarny
2010,235100,1980,140,Srebrny
2006,145000,1984,150,Brązowy
2018,10,1968,150,Czarny
2005,222637,1968,140,Brązowy
2018,20,2000,150,Czarny
2006,247000,1968,140,Brązowy
2006,340000,1968,140,Czarny
2007,183000,3200,250,Czarny
2014,106600,1968,140,Inny kolor
2011,234000,2000,140,Czarny
2013,174920,2000,140,Szary
2001,205200,1800,150,Inny kolor
2018,5,1395,150,Niebieski
2013,101000,1968,140,Czarny
1996,278000,1900,90,Fioletowy
2002,250000,1896,130,Zielony
2018,1,1798,180,Czarny
2012,171000,2000,140,Czarny
1999,296500,1896,115,Srebrny
2018,5,1395,150,Srebrny
2008,287000,2000,170,Czarny
2011,223545,2000,140,Niebieski
2015,164188,1968,190,Inny kolor
2008,224000,1988,140,Czarny
2007,205000,1900,105,Czerwony
2018,1,1400,150,Niebieski
2012,128705,1968,170,Czarny
2011,160100,1968,140,Niebieski
2011,233000,1968,140,Srebrny
2016,104000,2000,150,Inny kolor
2002,236000,1900,131,Czarny
2009,228500,1968,170,Srebrny
2015,192000,1998,150,Beżowy
1999,180000,1800,125,Czarny
1997,320000,1896,90,Czarny
2006,331670,1968,140,Srebrny
2014,163300,1968,140,Inny kolor
1999,252343,1600,102,Czarny
2009,110000,1798,160,Czarny
2003,358500,1900,115,Niebieski
2018,7,1968,150,Srebrny
2006,145000,1984,150,Brązowy
2014,117332,1968,140,Czarny
2014,55282,1968,140,Srebrny
2003,335000,1900,131,Srebrny
2014,163300,1968,140,Inny kolor
1994,319000,1800,90,Niebieski
2006,220300,1896,105,Srebrny
2018,5,1968,150,Czarny
2018,5,1968,150,Niebieski
2004,244420,2771,193,Czarny
2001,218771,1800,150,Niebieski
2003,191000,1900,130,Srebrny
2013,185473,1968,177,Czarny
2017,1,2000,190,Szary
2007,201000,1968,140,Szary
2001,210247,1595,102,Srebrny
2005,154700,1994,150,Czarny
2002,193000,1998,116,Niebieski
2004,235800,1984,130,Brązowy
